,linear_mul,loss,lr,lstm_size,trial_num
51,2.0,0.005814839309702317,0.01,32.0,1.0
52,4.0,0.006416828961422046,0.01,32.0,1.0
53,8.0,0.0025783710336933535,0.01,32.0,1.0
54,2.0,0.005911941391726335,0.01,64.0,1.0
55,4.0,0.002612971894753476,0.01,64.0,1.0
56,8.0,0.002310792989252756,0.01,64.0,1.0
57,2.0,0.016125012872119746,0.01,128.0,1.0
58,4.0,0.0022294936624045174,0.01,128.0,1.0
59,8.0,0.0009906919246229033,0.01,128.0,1.0
60,2.0,0.030762999256451925,0.1,16.0,1.0
61,4.0,0.01720232100536426,0.1,16.0,1.0
62,8.0,0.013265538401901722,0.1,16.0,1.0
63,2.0,0.15965547462304433,0.1,32.0,1.0
64,4.0,0.005418464882920185,0.1,32.0,1.0
65,8.0,0.001969052234198898,0.1,32.0,1.0
66,2.0,0.01736930211385091,0.1,64.0,1.0
67,4.0,0.0032399152405560017,0.1,64.0,1.0
68,8.0,0.0008860382639492552,0.1,64.0,1.0
69,2.0,0.054059199740489325,0.1,128.0,1.0
70,4.0,0.005020364203179876,0.1,128.0,1.0
71,8.0,0.002785459067672491,0.1,128.0,1.0
72,2.0,0.08106262460350991,0.001,16.0,2.0
73,4.0,0.11286827077468237,0.001,16.0,2.0
74,8.0,0.11596011047561963,0.001,16.0,2.0
75,2.0,0.04760155007243157,0.001,32.0,2.0
76,4.0,0.06792005598545074,0.001,32.0,2.0
77,8.0,0.055361071477333705,0.001,32.0,2.0
78,2.0,0.02605388474961122,0.001,64.0,2.0
79,4.0,0.03510093403359254,0.001,64.0,2.0
80,8.0,0.04105520596106847,0.001,64.0,2.0
81,2.0,0.017916952321926752,0.001,128.0,2.0
82,4.0,0.01808854111780723,0.001,128.0,2.0
83,8.0,0.023230548823873202,0.001,128.0,2.0
84,2.0,0.012806393454472225,0.01,16.0,2.0
85,4.0,0.009018766103933255,0.01,16.0,2.0
86,8.0,0.007990981700519722,0.01,16.0,2.0
87,2.0,0.005359065160155297,0.01,32.0,2.0
88,4.0,0.004560430953279138,0.01,32.0,2.0
89,8.0,0.005223177078490456,0.01,32.0,2.0
90,2.0,0.005117408093065023,0.01,64.0,2.0
91,4.0,0.003274481790140271,0.01,64.0,2.0
92,8.0,0.0015635088318958878,0.01,64.0,2.0
93,2.0,0.0045474853832274675,0.01,128.0,2.0
94,4.0,0.0019496376859024166,0.01,128.0,2.0
95,8.0,0.0013410600367933512,0.01,128.0,2.0
96,2.0,0.005950988767047723,0.1,16.0,2.0
97,4.0,0.03289276460806529,0.1,16.0,2.0
98,8.0,0.0030965222433830303,0.1,16.0,2.0
99,2.0,0.026160022368033727,0.1,32.0,2.0
100,4.0,0.009143269869188468,0.1,32.0,2.0
101,8.0,0.0031275924916068713,0.1,32.0,2.0
102,2.0,0.006310874068488678,0.1,64.0,2.0
103,4.0,0.0019975463122439883,0.1,64.0,2.0
104,8.0,0.0021662720556681354,0.1,64.0,2.0
105,2.0,0.0044693133172889555,0.1,128.0,2.0
106,4.0,0.010520644020289183,0.1,128.0,2.0
107,8.0,0.008236792869865894,0.1,128.0,2.0
108,2.0,0.09087101618448894,0.001,16.0,3.0
109,4.0,0.14654046694437664,0.001,16.0,3.0
110,8.0,0.1349334607521693,0.001,16.0,3.0
111,2.0,0.04981415383517742,0.001,32.0,3.0
112,4.0,0.09899255931377411,0.001,32.0,3.0
113,8.0,0.10088218202193579,0.001,32.0,3.0
114,2.0,0.03566290078063806,0.001,64.0,3.0
115,4.0,0.05905584792296092,0.001,64.0,3.0
116,8.0,0.049792592475811644,0.001,64.0,3.0
117,2.0,0.021226234858234723,0.001,128.0,3.0
118,4.0,0.04000340973337491,0.001,128.0,3.0
119,8.0,0.038882683714230856,0.001,128.0,3.0
120,2.0,0.012207294069230556,0.01,16.0,3.0
121,4.0,0.01796940645823876,0.01,16.0,3.0
122,8.0,0.017899824865162374,0.01,16.0,3.0
123,2.0,0.011116437272479136,0.01,32.0,3.0
124,4.0,0.018778720498085023,0.01,32.0,3.0
125,8.0,0.01150817529608806,0.01,32.0,3.0
126,2.0,0.010153897292912006,0.01,64.0,3.0
127,4.0,0.01000417952115337,0.01,64.0,3.0
128,8.0,0.00670635715747873,0.01,64.0,3.0
129,2.0,0.004900454760839542,0.01,128.0,3.0
130,4.0,0.007885881730665763,0.01,128.0,3.0
131,8.0,0.005022346399103602,0.01,128.0,3.0
132,2.0,0.015152813183764617,0.1,16.0,3.0
133,4.0,0.005779873331387838,0.1,16.0,3.0
134,8.0,0.003607594547793269,0.1,16.0,3.0
