,linear_mul,loss,lr,lstm_size,trial_num
114,2.0,0.009435448850340703,0.001,64.0,3.0
115,4.0,0.0205522865495261,0.001,64.0,3.0
116,8.0,0.020649755757082913,0.001,64.0,3.0
117,2.0,0.004119388827615801,0.001,128.0,3.0
118,4.0,0.012649585712043679,0.001,128.0,3.0
119,8.0,0.009604129365042728,0.001,128.0,3.0
120,2.0,0.0012877025977050996,0.01,16.0,3.0
121,4.0,0.00151112289099461,0.01,16.0,3.0
122,8.0,0.004145722137764096,0.01,16.0,3.0
123,2.0,0.0009304106146480669,0.01,32.0,3.0
124,4.0,0.0017537227592102306,0.01,32.0,3.0
125,8.0,0.0007367711651193746,0.01,32.0,3.0
126,2.0,0.0005053839259370066,0.01,64.0,3.0
127,4.0,0.0006723043539643506,0.01,64.0,3.0
128,8.0,0.00033282889789381227,0.01,64.0,3.0
129,2.0,0.00021341157587491632,0.01,128.0,3.0
130,4.0,0.0003172978459213696,0.01,128.0,3.0
131,8.0,0.0001527576387161389,0.01,128.0,3.0
132,2.0,0.00037583517961834064,0.1,16.0,3.0
133,4.0,0.00018433905343579894,0.1,16.0,3.0
134,8.0,0.00010369807312278735,0.1,16.0,3.0
135,2.0,0.00018172495337614024,0.1,32.0,3.0
136,4.0,6.065205407674726e-05,0.1,32.0,3.0
137,8.0,8.232901178844793e-05,0.1,32.0,3.0
138,2.0,0.00026833618689766703,0.1,64.0,3.0
139,4.0,0.0003606000220101765,0.1,64.0,3.0
140,8.0,3.663615167598062e-05,0.1,64.0,3.0
141,2.0,0.0014102643985739525,0.1,128.0,3.0
142,4.0,0.00016988526476779953,0.1,128.0,3.0
143,8.0,0.0002616112444015658,0.1,128.0,3.0
144,2.0,0.033912662745398635,0.001,16.0,4.0
145,4.0,0.033436281606554985,0.001,16.0,4.0
146,8.0,0.0368218742968405,0.001,16.0,4.0
147,2.0,0.014965114074156564,0.001,32.0,4.0
148,4.0,0.018437448122045574,0.001,32.0,4.0
149,8.0,0.015215287149390754,0.001,32.0,4.0
150,2.0,0.005428348051603226,0.001,64.0,4.0
151,4.0,0.005746548420146984,0.001,64.0,4.0
152,8.0,0.006027021198807394,0.001,64.0,4.0
153,2.0,0.0027171809650848016,0.001,128.0,4.0
154,4.0,0.0034202805391567595,0.001,128.0,4.0
155,8.0,0.002831749604357516,0.001,128.0,4.0
156,2.0,0.002267733620315352,0.01,16.0,4.0
157,4.0,0.0011939354624380084,0.01,16.0,4.0
158,8.0,0.0008476013112265398,0.01,16.0,4.0
159,2.0,0.0008992069445358699,0.01,32.0,4.0
160,4.0,0.0003110120288671597,0.01,32.0,4.0
161,8.0,0.0003721658465699019,0.01,32.0,4.0
162,2.0,0.00032833024135256624,0.01,64.0,4.0
163,4.0,0.00014154369444654817,0.01,64.0,4.0
164,8.0,0.00012031473563504679,0.01,64.0,4.0
165,2.0,0.00012314053481746027,0.01,128.0,4.0
166,4.0,4.906868365223465e-05,0.01,128.0,4.0
167,8.0,3.305281547107049e-05,0.01,128.0,4.0
168,2.0,0.0007417460917221272,0.1,16.0,4.0
169,4.0,0.00026972500884713717,0.1,16.0,4.0
170,8.0,0.00029504149193492006,0.1,16.0,4.0
171,2.0,9.90939763997791e-05,0.1,32.0,4.0
172,4.0,6.144898917923188e-05,0.1,32.0,4.0
173,8.0,4.520539411768208e-05,0.1,32.0,4.0
174,2.0,0.00023811351489070256,0.1,64.0,4.0
175,4.0,8.524480975157691e-05,0.1,64.0,4.0
176,8.0,7.313822425203398e-05,0.1,64.0,4.0
177,2.0,0.000672512617551119,0.1,128.0,4.0
178,4.0,0.00024236857451101327,0.1,128.0,4.0
179,8.0,0.00012329427066587787,0.1,128.0,4.0
